step	accuracy
49	0.5
99	0.4609375
149	0.4609375
199	0.5234375
249	0.609375
299	0.546875
349	0.5546875
399	0.734375
449	0.625
499	0.6796875
549	0.703125
599	0.7109375
649	0.7734375
699	0.75
749	0.7109375
799	0.71875
849	0.78125
899	0.796875
949	0.6953125
999	0.875
1049	0.828125
1099	0.828125
1149	0.8046875
1199	0.890625
1249	0.90625
1299	0.859375
1349	0.8125
1399	0.9609375
1449	0.8671875
1499	0.90625
1549	0.8828125
1599	0.90625
1649	0.8984375
1699	0.890625
1749	0.84375
1799	0.9453125
1849	0.8984375
1899	0.9296875
1949	0.953125
1999	0.9609375
2049	0.9453125
2099	0.9609375
2149	0.953125
2199	0.96875
2249	0.9609375
2299	0.9140625
2349	0.9375
2399	0.953125
2449	0.9375
2499	0.96875
2549	0.9765625
2599	0.96875
2649	0.9453125
2699	0.953125
2749	0.96875
2799	0.96875
2849	0.9609375
2899	0.9765625
2949	0.9765625
2999	0.96875
3049	0.96875
3099	0.984375
3149	0.96875
3199	0.9765625
3249	0.984375
3299	0.96875
3349	0.9765625
3399	1.0
3449	0.9921875
3499	0.96875
3549	0.984375
3599	0.984375
3649	0.984375
3699	0.9609375
3749	0.96875
3799	0.9609375
3849	0.96875
3899	0.96875
3949	0.96875
3999	0.984375
4049	0.9921875
4099	1.0
4149	0.984375
4199	0.984375
4249	0.9765625
4299	0.984375
4349	0.984375
4399	0.9609375
4449	0.984375
4499	0.984375
4549	0.9921875
4599	0.9453125
4649	0.9609375
4699	0.984375
4749	0.96875
4799	0.9765625
4849	0.953125
4899	0.9750000238418579
4949	0.984375
4999	0.9765625
5049	0.984375
5099	0.953125
5149	0.9921875
5199	0.9921875
5249	0.9921875
5299	0.9921875
5349	0.9765625
5399	0.9921875
5449	0.984375
5499	0.984375
5549	0.984375
5599	0.984375
5649	0.984375
5699	0.96875
5749	0.984375
5799	0.96875
5849	0.9765625
5899	0.96875
5949	0.9921875
5999	0.984375
6049	0.984375
6099	0.984375
6149	1.0
6199	0.96875
6249	0.984375
6299	0.984375
6349	0.9921875
6399	0.984375
6449	0.9921875
6499	0.9765625
6549	0.9765625
6599	1.0
6649	0.9765625
6699	0.96875
6749	0.9296875
6799	0.984375
6849	0.9921875
6899	0.984375
6949	0.9765625
6999	0.984375
7049	0.984375
7099	0.9921875
7149	0.9921875
7199	0.9921875
7249	0.984375
7299	1.0
7349	0.984375
7399	0.9765625
7449	0.9921875
7499	0.9921875
7549	0.984375
7599	0.953125
7649	1.0
7699	0.9921875
7749	0.984375
7799	0.984375
7849	0.96875
7899	0.9921875
7949	1.0
7999	0.9921875
8049	0.984375
8099	0.9609375
8149	0.984375
8199	0.9921875
8249	0.96875
8299	0.984375
8349	0.9921875
8399	0.9921875
8449	0.9765625
8499	0.9921875
8549	0.984375
8599	0.96875
8649	0.984375
8699	0.9765625
8749	0.96875
8799	1.0
8849	1.0
8899	0.984375
8949	0.984375
8999	0.984375
9049	1.0
9099	1.0
9149	0.9765625
9199	0.9921875
9249	0.984375
9299	0.9921875
9349	0.9921875
9399	1.0
9449	0.9921875
9499	0.984375
9549	1.0
9599	0.9765625
9649	0.9921875
9699	0.9921875
9749	0.984375
9799	0.9750000238418579
9849	1.0
9899	0.9921875
9949	0.9921875
9999	0.9609375
10049	0.984375
10099	1.0
10149	0.9921875
10199	0.9765625
10249	1.0
10299	0.984375
10349	0.9921875
10399	0.96875
10449	0.9921875
10499	0.9921875
10549	0.9765625
10599	0.9765625
10649	0.984375
10699	0.9609375
10749	0.984375
10799	1.0
10849	0.984375
10899	0.984375
10949	0.9921875
10999	0.9921875
11049	0.9921875
11099	0.984375
11149	0.984375
11199	0.984375
11249	1.0
11299	0.9921875
11349	0.984375
11399	0.984375
11449	1.0
11499	0.9921875
11549	1.0
11599	1.0
11649	0.984375
11699	0.9921875
11749	0.9921875
11799	1.0
11849	0.9921875
11899	0.96875
11949	1.0
11999	0.9921875
12049	0.9921875
12099	0.9921875
12149	0.984375
12199	0.9921875
12249	0.9765625
12299	0.984375
12349	1.0
12399	1.0
12449	0.984375
12499	1.0
12549	0.9921875
12599	1.0
12649	0.9765625
12699	0.9921875
12749	0.96875
12799	0.984375
12849	1.0
12899	0.9921875
12949	0.9921875
12999	1.0
13049	1.0
13099	1.0
13149	0.9765625
13199	1.0
13249	0.9921875
13299	0.9921875
13349	0.9921875
13399	0.9921875
13449	0.9765625
13499	1.0
13549	0.9921875
13599	1.0
13649	0.9765625
13699	0.9921875
13749	0.984375
13799	0.984375
13849	0.96875
13899	0.9921875
13949	0.9921875
13999	1.0
14049	0.984375
14099	0.9765625
14149	1.0
14199	1.0
14249	1.0
14299	0.9921875
14349	0.9921875
14399	0.9921875
14449	0.96875
14499	0.984375
14549	0.9921875
14599	0.9921875
14649	0.984375
14699	0.949999988079071
14749	0.96875
14799	0.96875
14849	0.9765625
14899	1.0
14949	0.9921875
14999	0.984375
15049	0.984375
15099	1.0
15149	0.9921875
15199	0.9765625
15249	0.9921875
15299	0.9765625
15349	0.9921875
15399	0.9921875
15449	1.0
15499	0.9921875
15549	0.9921875
15599	0.9765625
15649	0.9921875
15699	1.0
15749	0.984375
15799	1.0
15849	0.9921875
15899	0.96875
15949	0.9921875
15999	0.984375
16049	1.0
16099	0.9921875
16149	0.9765625
16199	1.0
16249	1.0
16299	0.984375
16349	1.0
16399	1.0
16449	0.9921875
16499	1.0
16549	0.9921875
16599	0.9921875
16649	0.9765625
16699	0.9921875
16749	0.9921875
16799	0.9765625
16849	0.9921875
16899	1.0
16949	1.0
16999	0.984375
17049	0.9921875
17099	1.0
17149	1.0
17199	1.0
17249	1.0
17299	1.0
17349	0.9921875
17399	0.9765625
17449	0.9921875
17499	1.0
17549	1.0
17599	0.9921875
17649	0.9921875
17699	0.9921875
17749	0.984375
17799	1.0
17849	1.0
17899	0.9921875
17949	1.0
17999	1.0
18049	0.9921875
18099	0.9921875
18149	0.984375
18199	0.9921875
18249	0.984375
18299	1.0
18349	0.9921875
18399	0.9921875
18449	0.9765625
18499	0.9921875
18549	1.0
18599	1.0
18649	1.0
18699	1.0
18749	0.984375
18799	0.9921875
18849	0.9921875
18899	1.0
18949	0.9921875
18999	1.0
19049	1.0
19099	1.0
19149	0.9765625
19199	0.9921875
19249	0.9921875
19299	0.9921875
19349	0.984375
19399	0.9921875
19449	1.0
19499	1.0
19549	0.9921875
19599	0.949999988079071
